Gene	SJMMALZ058765_G1	SJMMALZ058766_G1	SJMMALZ058768_G1	SJMMALZ058769_G1	SJMMALZ058771_G1	SJMMALZ058772_G1	SJMMALZ058773_G1	SJMMALZ058774_G1	SJMMALZ058775_G1	SJMMALZ058776_G1	SJMMALZ058778_G1	SJMMALZ058779_G1	SJMMALZ058780_G1	SJMMALZ058781_G1	SJMMALZ058782_G1
ENSMUSG00000044791	10434	11182	13626	11880	8142	11937	8278	10988	13247	17410	6883	11991	9590	12477	6151
ENSMUSG00000044792	25332	25356	29766	27155	17464	23732	19265	24004	22367	31405	16564	28225	22537	23014	16775
ENSMUSG00000042650	10988	12370	13035	13153	7666	9817	9675	9994	11748	15492	7143	13363	10229	11914	7088
ENSMUSG00000059810	3973	2730	4195	4061	2530	3405	3251	4108	5865	5662	2437	6092	3882	5033	2453
ENSMUSG00000059811	10575	10943	12877	12079	6930	9538	8399	9031	9789	13624	6799	11780	9329	10584	6444
ENSMUSG00000067336	324	415	397	460	204	360	221	367	410	545	233	439	282	429	173
ENSMUSG00000040405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040407	12555	9468	10073	8536	5805	8105	6158	7859	9984	11664	5165	11392	7301	9285	4735
ENSMUSG00000042660	1489	1479	1718	1672	947	1410	1086	1482	1456	2166	931	1729	1246	1423	875
ENSMUSG00000042662	3075	3478	3616	5559	2121	3117	3452	3209	4360	5927	2171	5189	3387	3247	2354
ENSMUSG00000067338	1	0	0	2	0	0	0	4	0	1	0	4	0	1	0
ENSMUSG00000040414	4653	4433	5075	6456	3201	4128	4476	4622	4595	6565	3057	5549	4657	4722	3241
ENSMUSG00000042678	38	73	76	183	95	90	164	119	73	187	100	129	82	103	65
ENSMUSG00000059839	2196	2943	3238	2965	1725	2228	2442	2269	2530	3366	1671	2794	2064	2793	1746
ENSMUSG00000065089	14	8	4	20	11	5	7	14	22	24	12	20	5	10	3
ENSMUSG00000040413	14	2	0	1	0	0	2	3	3	1	1	5	1	0	0
ENSMUSG00000042677	150	170	273	190	93	192	185	259	330	485	112	435	272	395	89
ENSMUSG00000040415	37888	35853	41440	52564	22952	29488	32425	30440	34263	48547	26079	41655	33894	32196	22989
ENSMUSG00000042675	21286	20365	25441	31734	15548	19680	19893	22468	21126	28951	15695	23630	20956	20285	14396
ENSMUSG00000040410	2406	2674	3608	2859	2296	3043	2534	3097	3516	4185	1895	3325	2602	2930	1987
ENSMUSG00000059835	258	249	331	375	132	193	207	241	358	433	146	429	224	242	113
ENSMUSG00000065085	1	1	0	2	0	1	1	0	1	3	0	0	1	2	0
ENSMUSG00000065086	6	0	0	0	0	0	2	0	0	0	0	0	0	1	0
ENSMUSG00000040412	10966	10200	11550	11728	6765	8276	8834	8268	8052	12117	6614	10420	8386	8912	6315
ENSMUSG00000065087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001300	9720	11642	12566	13526	6713	8826	7912	7339	8398	11836	7425	10429	8436	9269	6179
ENSMUSG00000065082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065083	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065084	2	14	9	18	8	6	3	5	2	9	1	3	1	7	4
ENSMUSG00000065080	2	2	5	6	2	3	8	1	5	4	4	4	2	3	1
ENSMUSG00000001305	1331	1455	1510	1997	922	1186	1127	1201	1387	2022	881	1593	1260	1401	686
ENSMUSG00000059832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042670	1635	1728	1933	2193	1026	1533	1406	1413	1873	2066	1142	2098	1565	1472	1028
ENSMUSG00000059834	1635	1739	2009	1947	1199	1417	1333	1384	1759	2347	1018	1807	1341	1676	1042
ENSMUSG00000042671	21032	24499	24690	24732	12564	15641	13485	11598	14405	19265	11269	19408	15768	12252	11830
ENSMUSG00000059830	5	5	9	8	11	1	6	2	11	28	3	22	4	10	1
ENSMUSG00000042672	1034	1241	1525	1346	1026	1200	1074	1213	1190	1465	766	919	1196	1048	845
ENSMUSG00000042686	1405	1852	2100	1766	1264	1739	1346	1732	2140	2617	1141	1920	1246	1947	1073
ENSMUSG00000040424	24640	18541	23389	18613	13519	17734	15153	20863	14834	23118	12320	19352	15977	13714	13146
ENSMUSG00000042688	15058	15184	20055	15601	10113	11509	12393	15883	13729	18355	8560	14237	15915	15356	8680
ENSMUSG00000040423	5126	6342	7286	7156	4020	5673	4919	5152	6596	8931	3995	7105	4912	6635	3555
ENSMUSG00000059827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059824	7064	5682	7579	5798	4326	4448	6744	6191	4435	6520	2820	6383	5463	4409	3254
ENSMUSG00000065096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067313	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000040420	2929	3493	3422	2784	2488	3604	2530	3167	2939	4279	2138	3465	2266	3115	2141
ENSMUSG00000065097	74	62	85	103	46	80	69	43	68	67	35	82	94	72	28
ENSMUSG00000001313	12217	9235	11421	11810	6970	9254	9299	11260	10221	14149	6344	12385	8742	8451	6341
ENSMUSG00000065094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065092	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0
ENSMUSG00000065090	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000065091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040429	540	576	726	731	433	503	479	461	644	839	339	826	544	639	316
ENSMUSG00000040428	547	457	741	783	516	593	519	776	686	979	491	599	698	837	386
ENSMUSG00000042680	4088	3726	3552	3535	2464	3524	2160	3205	3713	4615	2200	3455	2978	3292	1433
ENSMUSG00000059821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059820	3096	3230	3782	3521	2131	3066	2532	3351	3566	4350	1889	3460	2937	3098	1921
ENSMUSG00000042682	12621	13830	15630	18333	8512	11640	10546	11298	13003	17455	8904	16551	11698	12558	8427
ENSMUSG00000042684	531	568	685	740	305	489	425	390	634	940	252	834	473	638	266
ENSMUSG00000001517	240	277	233	301	151	204	243	254	271	448	130	462	222	300	163
ENSMUSG00000001518	3414	3178	3906	3845	2384	3034	2893	3384	3461	4995	2450	4039	2956	3486	2104
ENSMUSG00000069136	82	63	62	72	20	49	42	46	99	64	23	71	25	55	29
ENSMUSG00000069135	2776	2764	3469	3388	2028	2630	2585	2779	3068	4482	1788	3314	2557	3135	1712
ENSMUSG00000059862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069132	272	370	500	370	274	403	357	271	396	585	280	491	274	367	266
ENSMUSG00000040340	25	17	7	14	8	15	7	4	19	13	9	24	13	19	2
ENSMUSG00000059864	66	0	2	10	3	12	7	13	30	3	1	128	0	14	13
ENSMUSG00000059866	2231	2879	3186	4008	1619	2201	2337	2404	3393	4850	1834	3519	2225	2997	1399
ENSMUSG00000059867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040345	122	151	200	235	56	68	113	192	401	668	94	607	344	390	52
ENSMUSG00000053483	7376	8204	8519	11596	4479	6371	6255	5669	6712	9392	5567	8737	6421	7172	4547
ENSMUSG00000008429	6824	7472	8664	8069	4915	6689	6285	6511	7249	9433	4957	8196	7081	8097	4811
ENSMUSG00000053481	27	15	9	21	15	25	16	34	5	28	12	28	8	23	17
ENSMUSG00000001510	1	4	11	9	6	10	10	5	16	13	4	16	5	10	27
ENSMUSG00000001504	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000001508	33	29	70	29	57	28	33	46	34	35	22	37	72	71	33
ENSMUSG00000069125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001506	1831	2162	1742	2907	617	1213	718	508	1559	1164	927	1797	1876	2266	1009
ENSMUSG00000001507	3358	3582	3898	4372	2707	3116	3207	3521	4251	4847	2639	3831	3349	3632	2566
ENSMUSG00000059873	4	0	0	0	1	0	0	1	4	29	0	0	6	7	6
ENSMUSG00000059874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040331	3682	3568	4812	3982	2687	3286	3015	3684	4475	4901	2306	4715	3696	4000	2271
ENSMUSG00000059877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067106	26	26	15	31	24	20	10	29	20	20	14	31	27	16	12
ENSMUSG00000053499	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
